House Vote #564 2014-12-11T21:49:00 - H.R. 5699 (113th): John Muir National Historic Site Expansion Act
person,state,district,vote,name,party
412219,NH,1,Yea,"Rep. Carol Shea-Porter [D, 2013-2014]",Democrat
412221,NY,9,Yea,"Rep. Yvette Clarke [D, 2013-2016]",Democrat
412226,OH,4,Yea,"Rep. Jim Jordan [R, 2007-2016]",Republican
412236,TN,9,Yea,"Rep. Steve Cohen [D, 2007-2016]",Democrat
412239,VT,0,Yea,"Rep. Peter Welch [D, 2007-2016]",Democrat
412250,FL,12,Yea,"Rep. Gus Bilirakis [R, 2013-2016]",Republican
412252,GA,10,Nay,"Rep. Paul Broun Jr. [R, 2007-2014]",Republican
412254,MA,3,Yea,"Rep. Niki Tsongas [D, 2013-2016]",Democrat
412255,VA,1,Yea,"Rep. Robert Wittman [R, 2007-2016]",Republican
412256,OH,5,Yea,"Rep. Robert Latta [R, 2007-2016]",Republican
412257,IL,11,Yea,"Rep. Bill Foster [D, 2013-2016]",Democrat
412258,IN,7,Yea,"Rep. André Carson [D, 2008-2016]",Democrat
412259,CA,14,Yea,"Rep. Jackie Speier [D, 2013-2016]",Democrat
412261,LA,1,Yea,"Rep. Steve Scalise [R, 2008-2016]",Republican
412263,MD,4,Yea,"Rep. Donna Edwards [D, 2008-2016]",Democrat
412269,LA,6,Yea,"Rep. Bill Cassidy [R, 2009-2014]",Republican
412270,UT,3,Yea,"Rep. Jason Chaffetz [R, 2009-2016]",Republican
412271,CO,6,Yea,"Rep. Mike Coffman [R, 2009-2016]",Republican
412272,VA,11,Yea,"Rep. Gerald Connolly [D, 2009-2016]",Democrat
412275,LA,4,Yea,"Rep. John Fleming [R, 2009-2016]",Republican
412276,FL,9,Yea,"Rep. Alan Grayson [D, 2013-2016]",Democrat
412278,KY,2,Yea,"Rep. Brett Guthrie [R, 2009-2016]",Republican
412280,MS,3,Yea,"Rep. Gregg Harper [R, 2009-2016]",Republican
412282,CT,4,Yea,"Rep. James Himes [D, 2009-2016]",Democrat
412283,CA,50,Nay,"Rep. Duncan Hunter [R, 2013-2016]",Republican
