name,cid,party,office
Earl Blumenauer,N00007727,D,OR03
Peter DeFazio,N00007781,D,OR04
Kurt Schrader,N00030071,D,OR05
Jeff Merkley,N00029303,D,ORS1
Ron Wyden,N00007724,D,ORS2
Robert A Brady,N00001619,D,PA01
Chaka Fattah,N00001746,D,PA02
Mike Kelly,N00031647,R,PA03
Scott Perry,N00034120,R,PA04
Glenn Thompson,N00029736,R,PA05
Ryan Costello,N00031064,R,PA06
Patrick Meehan,N00031134,R,PA07
Michael G Fitzpatrick,N00027229,R,PA08
Bill Shuster,N00013770,R,PA09
Tom Marino,N00031777,R,PA10
Lou Barletta,N00025495,R,PA11
Keith J Rothfus,N00031253,R,PA12
Brendan Boyle,N00035307,D,PA13
Mike Doyle,N00001373,D,PA14
Charlie Dent,N00026171,R,PA15
Joe Pitts,N00001633,R,PA16
Matt Cartwright,N00034128,D,PA17
Tim Murphy,N00024992,R,PA18
Pat Toomey,N00001489,R,PAS1
Bob Casey,N00027503,D,PAS2
David Cicilline,N00032019,D,RI01
Jim Langevin,N00009724,D,RI02
Sheldon Whitehouse,N00027533,D,RIS1
Jack Reed,N00000362,D,RIS2
Mark Sanford,N00002424,R,SC01
Joe Wilson,N00024809,R,SC02
Jeff Duncan,N00030752,R,SC03
Trey Gowdy,N00030880,R,SC04
Mick Mulvaney,N00031412,R,SC05
James E Clyburn,N00002408,D,SC06
Tom Rice,N00033832,R,SC07
Tim Scott,N00031782,R,SCS1
Lindsey Graham,N00009975,R,SCS2
Kristi Noem,N00032022,R,SD01
John Thune,N00004572,R,SDS1
Mike Rounds,N00035187,R,SDS2
Phil Roe,N00028463,R,TN01
John J Duncan Jr,N00003209,R,TN02
Chuck Fleischmann,N00030815,R,TN03
Scott Desjarlais,N00030957,R,TN04
Jim Cooper,N00003132,D,TN05
Diane Black,N00031539,R,TN06
Marsha Blackburn,N00003105,R,TN07
Steve Fincher,N00031141,R,TN08
Steve Cohen,N00003225,D,TN09
Bob Corker,N00027441,R,TNS1
Lamar Alexander,N00009888,R,TNS2
Louis B Gohmert Jr,N00026148,R,TX01
Ted Poe,N00026457,R,TX02
Sam Johnson,N00008028,R,TX03
John Lee Ratcliffe,N00035972,R,TX04
Jeb Hensarling,N00024922,R,TX05
Joe Barton,N00005656,R,TX06
John Culberson,N00009738,R,TX07
Kevin Brady,N00005883,R,TX08
Al Green,N00026686,D,TX09
Michael McCaul,N00026460,R,TX10
Mike Conaway,N00026041,R,TX11
Kay Granger,N00008799,R,TX12
Mac Thornberry,N00006052,R,TX13
Randy Weber,N00033539,R,TX14
Ruben Hinojosa,N00006008,D,TX15
Beto O'Rourke,N00033540,D,TX16
Bill Flores,N00031545,R,TX17
Sheila Jackson Lee,N00005818,D,TX18
Randy Neugebauer,N00026043,R,TX19
Joaquin Castro,N00033316,D,TX20
Lamar Smith,N00001811,R,TX21
Pete Olson,N00029285,R,TX22
Will Hurd,N00031417,R,TX23
Kenny Marchant,N00026710,R,TX24
Roger Williams,N00030602,R,TX25
Michael Burgess,N00025219,R,TX26
Blake Farenthold,N00031672,R,TX27
Henry Cuellar,N00024978,D,TX28
Gene Green,N00005870,D,TX29
Eddie Bernice Johnson,N00008122,D,TX30
John Carter,N00025095,R,TX31
Pete Sessions,N00005681,R,TX32
Marc Veasey,N00033839,D,TX33
Filemon Vela,N00034349,D,TX34
Lloyd Doggett,N00006023,D,TX35
Brian Babin,N00005736,R,TX36
John Cornyn,N00024852,R,TXS1
Ted Cruz,N00033085,R,TXS2
Rob Bishop,N00025292,R,UT01
Chris Stewart,N00033932,R,UT02
Jason Chaffetz,N00028958,R,UT03
Mia Love,N00033842,R,UT04
Orrin G Hatch,N00009869,R,UTS1
Mike Lee,N00031696,R,UTS2
Rob Wittman,N00029459,R,VA01
Scott Rigell,N00030962,R,VA02
Bobby Scott,N00002147,D,VA03
Randy Forbes,N00013799,R,VA04
Robert Hurt,N00031265,R,VA05
Bob Goodlatte,N00009154,R,VA06
Dave Brat,N00036013,R,VA07
Don Beyer,N00036018,D,VA08
Morgan Griffith,N00032029,R,VA09
Barbara Comstock,N00036023,R,VA10
Gerry Connolly,N00029891,D,VA11
Tim Kaine,N00033177,D,VAS1
Mark Warner,N00002097,D,VAS2
Peter Welch,N00000515,D,VT01
Bernie Sanders,N00000528,D,VTS1
Patrick Leahy,N00009918,D,VTS2
Suzan DelBene,N00030693,D,WA01
Rick Larsen,N00009759,D,WA02
Jaime Herrera Beutler,N00031559,R,WA03
Daniel Milton Newhouse,N00036403,R,WA04
Cathy McMorris Rodgers,N00026314,R,WA05
Derek Kilmer,N00034453,D,WA06
Jim McDermott,N00009829,D,WA07
Dave Reichert,N00026885,R,WA08
Adam Smith,N00007833,D,WA09
Dennis Heck,N00031557,D,WA10
Maria Cantwell,N00007836,D,WAS1
Patty Murray,N00007876,D,WAS2
Paul Ryan,N00004357,R,WI01
Mark Pocan,N00033549,D,WI02
Ron Kind,N00004403,D,WI03
Gwen Moore,N00026914,D,WI04
F James Sensenbrenner Jr,N00004291,R,WI05
Glenn S Grothman,N00036409,R,WI06
Sean P Duffy,N00030967,R,WI07
Reid Ribble,N00030968,R,WI08
Tammy Baldwin,N00004367,D,WIS1
Ron Johnson,N00032546,R,WIS2
David McKinley,N00031681,R,WV01
Alex Mooney,N00033814,R,WV02
Evan Jenkins,N00035531,R,WV03
Joe Manchin,N00032838,D,WVS1
Shelley Moore Capito,N00009771,R,WVS2
Cynthia Lummis,N00029788,R,WY01
John A Barrasso,N00006236,R,WYS1
Mike Enzi,N00006249,R,WYS2
